b'{"placed_by":"DG0619","order_id":"210308001494194","exchange_order_id":"1300000004753223","parent_order_id":"","status":"COMPLETE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:20:36","exchange_update_timestamp":"2021-03-08 10:20:36","exchange_timestamp":"2021-03-08 10:20:36","variety":"regular","exchange":"NSE","tradingsymbol":"RBLBANK","instrument_token":4708097,"order_type":"MARKET","transaction_type":"BUY","validity":"DAY","product":"MIS","quantity":194,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":248.55,"filled_quantity":194,"pending_quantity":0,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XIuc307Snknpe","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"447cbb4415360c6bd5ae6f3763fce1460ab479ec9618ede62a13696e4d598c5d"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1717,"filled_quantity":1,"pending_quantity":27,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1717,"filled_quantity":2,"pending_quantity":26,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1717,"filled_quantity":6,"pending_quantity":22,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1717,"filled_quantity":4,"pending_quantity":24,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1717,"filled_quantity":7,"pending_quantity":21,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"COMPLETE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1716.81428571,"filled_quantity":28,"pending_quantity":0,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001910515","exchange_order_id":"1100000005707873","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:49:44","exchange_update_timestamp":"2021-03-08 10:49:44","exchange_timestamp":"2021-03-08 10:49:44","variety":"regular","exchange":"NSE","tradingsymbol":"INDIGO","instrument_token":2865921,"order_type":"MARKET","transaction_type":"SELL","validity":"DAY","product":"MIS","quantity":28,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":1716.975,"filled_quantity":8,"pending_quantity":20,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XN7K1DF2alN9N","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"de585156eac4c74ba3dd27a01302b7629b00119dda589dfd7d896ea82ecd25fd"}'
b'{"placed_by":"DG0619","order_id":"210308001978276","exchange_order_id":"1000000007656049","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:54:41","exchange_update_timestamp":"2021-03-08 10:54:41","exchange_timestamp":"2021-03-08 10:54:41","variety":"regular","exchange":"NSE","tradingsymbol":"ASIANPAINT","instrument_token":60417,"order_type":"MARKET","transaction_type":"BUY","validity":"DAY","product":"MIS","quantity":31,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":2385.85,"filled_quantity":14,"pending_quantity":17,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XA92mmgfuT4Om","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"0fcc7493d0a23721581d2a4785cd0111cb669c790592c0535e5ac0f25da4e6d3"}'
b'{"placed_by":"DG0619","order_id":"210308001978276","exchange_order_id":"1000000007656049","parent_order_id":"","status":"UPDATE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:54:41","exchange_update_timestamp":"2021-03-08 10:54:41","exchange_timestamp":"2021-03-08 10:54:41","variety":"regular","exchange":"NSE","tradingsymbol":"ASIANPAINT","instrument_token":60417,"order_type":"MARKET","transaction_type":"BUY","validity":"DAY","product":"MIS","quantity":31,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":2385.85,"filled_quantity":10,"pending_quantity":21,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XA92mmgfuT4Om","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"0fcc7493d0a23721581d2a4785cd0111cb669c790592c0535e5ac0f25da4e6d3"}'
b'{"placed_by":"DG0619","order_id":"210308001978276","exchange_order_id":"1000000007656049","parent_order_id":"","status":"COMPLETE","status_message":"","status_message_raw":"","order_timestamp":"2021-03-08 10:54:41","exchange_update_timestamp":"2021-03-08 10:54:41","exchange_timestamp":"2021-03-08 10:54:41","variety":"regular","exchange":"NSE","tradingsymbol":"ASIANPAINT","instrument_token":60417,"order_type":"MARKET","transaction_type":"BUY","validity":"DAY","product":"MIS","quantity":31,"disclosed_quantity":0,"price":0,"trigger_price":0,"average_price":2385.85,"filled_quantity":31,"pending_quantity":0,"cancelled_quantity":0,"market_protection":0,"meta":{},"tag":"","guid":"9358XA92mmgfuT4Om","user_id":"DG0619","unfilled_quantity":0,"app_id":9358,"checksum":"0fcc7493d0a23721581d2a4785cd0111cb669c790592c0535e5ac0f25da4e6d3"}'
